类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Caller","[MobileInput.dll]","[MobileInput.dll]",1,0,0.06,0.00,
"Caller","[MobileInput.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[MobileInput.dll]","[kernel32.dll]",1,0,0.06,0.00,
"Callee","[MobileInput.dll]","[MobileInput.dll]",1,0,0.06,0.00,
"Root","[mscoree.dll]","[mscoree.dll]","1,065",0,62.98,0.00,
"Caller","[mscoree.dll]","[mscoree.dll]","1,065",0,62.98,0.00,
"Caller","[mscoree.dll]","[ntdll.dll]","1,065",0,62.98,0.00,
"Callee","[mscoree.dll]","[kernel32.dll]",1,0,0.06,0.00,
"Callee","[mscoree.dll]","[mscoree.dll]","1,065",0,62.98,0.00,
"Callee","[mscoree.dll]","[mscoreei.dll]","1,064",0,62.92,0.00,
"Root","[mscoreei.dll]","[mscoreei.dll]","1,064",0,62.92,0.00,
"Caller","[mscoreei.dll]","[clr.dll]",51,0,3.02,0.00,
"Caller","[mscoreei.dll]","[mscoree.dll]","1,064",0,62.92,0.00,
"Caller","[mscoreei.dll]","[mscoreei.dll]",51,0,3.02,0.00,
"Callee","[mscoreei.dll]","[clr.dll]","1,064",0,62.92,0.00,
"Callee","[mscoreei.dll]","[kernel32.dll]",51,0,3.02,0.00,
"Callee","[mscoreei.dll]","[mscoreei.dll]",51,0,3.02,0.00,
"Callee","[mscoreei.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Root","[mscorlib.ni.dll]","[mscorlib.ni.dll]",160,11,9.46,0.65,
"Caller","[mscorlib.ni.dll]","[clr.dll]",44,0,2.60,0.00,
"Caller","[mscorlib.ni.dll]","[mscorlib.ni.dll]",150,0,8.87,0.00,
"Caller","[mscorlib.ni.dll]","[PresentationCore.ni.dll]",5,1,0.30,0.06,
"Caller","[mscorlib.ni.dll]","[System.ni.dll]",7,1,0.41,0.06,
"Caller","[mscorlib.ni.dll]","[WindowsBase.ni.dll]",114,9,6.74,0.53,
"Callee","[mscorlib.ni.dll]","[clr.dll]",37,5,2.19,0.30,
"Callee","[mscorlib.ni.dll]","[mscorlib.ni.dll]",150,0,8.87,0.00,
"Callee","[mscorlib.ni.dll]","[PresentationCore.ni.dll]",2,0,0.12,0.00,
"Callee","[mscorlib.ni.dll]","[System.ni.dll]",16,0,0.95,0.00,
"Callee","[mscorlib.ni.dll]","[WindowsBase.ni.dll]",104,0,6.15,0.00,
"Callee","[mscorlib.ni.dll]","[未知]",2,2,0.12,0.12,
"Root","[msctf.dll]","[msctf.dll]",18,1,1.06,0.06,
"Caller","[msctf.dll]","[msctf.dll]",14,0,0.83,0.00,
"Caller","[msctf.dll]","[TextInputFramework.dll]",5,0,0.30,0.00,
"Caller","[msctf.dll]","[user32.dll]",10,1,0.59,0.06,
"Caller","[msctf.dll]","[WindowsBase.ni.dll]",4,0,0.24,0.00,
"Callee","[msctf.dll]","[KernelBase.dll]",2,0,0.12,0.00,
"Callee","[msctf.dll]","[msctf.dll]",14,0,0.83,0.00,
"Callee","[msctf.dll]","[msctfui.dll]",2,0,0.12,0.00,
"Callee","[msctf.dll]","[ntdll.dll]",3,0,0.18,0.00,
"Callee","[msctf.dll]","[SogouTSF.ime]",3,0,0.18,0.00,
"Callee","[msctf.dll]","[user32.dll]",8,1,0.47,0.06,
"Root","[msctfui.dll]","[msctfui.dll]",3,0,0.18,0.00,
"Caller","[msctfui.dll]","[msctf.dll]",2,0,0.12,0.00,
"Caller","[msctfui.dll]","[msctfui.dll]",2,0,0.12,0.00,
"Caller","[msctfui.dll]","[user32.dll]",1,0,0.06,0.00,
"Callee","[msctfui.dll]","[msctfui.dll]",2,0,0.12,0.00,
"Callee","[msctfui.dll]","[user32.dll]",1,0,0.06,0.00,
"Callee","[msctfui.dll]","[uxtheme.dll]",1,0,0.06,0.00,
"Callee","[msctfui.dll]","[未知]",1,0,0.06,0.00,
"Root","[mshtml.dll]","[mshtml.dll]",588,169,34.77,9.99,
"Caller","[mshtml.dll]","[clr.dll]",46,0,2.72,0.00,
"Caller","[mshtml.dll]","[ieframe.dll]",20,0,1.18,0.00,
"Caller","[mshtml.dll]","[jscript9.dll]",32,2,1.89,0.12,
"Caller","[mshtml.dll]","[kernel32.dll]",32,0,1.89,0.00,
"Caller","[mshtml.dll]","[mshtml.dll]",580,167,34.30,9.88,
"Caller","[mshtml.dll]","[msvcrt.dll]",13,0,0.77,0.00,
"Caller","[mshtml.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[mshtml.dll]","[user32.dll]",477,0,28.21,0.00,
"Callee","[mshtml.dll]","[combase.dll]",1,0,0.06,0.00,
"Callee","[mshtml.dll]","[d2d1.dll]",111,3,6.56,0.18,
"Callee","[mshtml.dll]","[d3d11.dll]",7,0,0.41,0.00,
"Callee","[mshtml.dll]","[gdi32.dll]",20,0,1.18,0.00,
"Callee","[mshtml.dll]","[ieframe.dll]",1,0,0.06,0.00,
"Callee","[mshtml.dll]","[iertutil.dll]",6,2,0.35,0.12,
"Callee","[mshtml.dll]","[jscript9.dll]",89,4,5.26,0.24,
"Callee","[mshtml.dll]","[kernel32.dll]",6,4,0.35,0.24,
"Callee","[mshtml.dll]","[KernelBase.dll]",18,4,1.06,0.24,
"Callee","[mshtml.dll]","[mshtml.dll]",580,167,34.30,9.88,
